Age_Group,Gender,City_Tier,State,Occupation,Monthly_Income,Handcrafted_Frequency,Purchase_Channel,Primary_Factor,Design_Preference,Preferred_Products,Bag_Type,Decor_Preference,Embroidery_Level,Mirror_Work,Color_Family,Purchase_Occasion,Budget_Handbag,Budget_Apparel,Budget_HomeDecor,Discount_Influence,Preferred_Offer,Online_Trust_Buy,Trust_Factor,Authenticity_Score,Limited_Edition_Preference,Purchase_Interest
21-30,Female,Metro,West Bengal,Student,Below 25000,Rarely,During travel,Brand,Depends on product,"Laptop sleeves / utility pouches, Jackets / shrugs",Clutch,Decorative organizers,Minimal embroidery,Light mirror work,Pastel shades,Festive use,500-1000,1000-2000,1500-3000,No,Buy 2 Get 1,Yes,Return policy,4,Yes,Highly likely
31-40,Female,Tier 3 / Rural,Telangana,Freelancer,Above 200000,Occasionally,Instagram stores,Authenticity,Minimal modern,"Handbags, Jackets / shrugs, Gift sets",Sling bag,Table runners,Moderate embroidery,No mirror work,Earth tones,Gifting,1000-2000,1000-2000,Above 3000,Strongly yes,Buy 2 Get 1,Yes,Product images,4,No,Likely
31-40,Male,Metro,Tamil Nadu,Salaried Employee,Below 25000,Occasionally,Online marketplaces,Utility,Depends on product,Jackets / shrugs,Tote bag,Table runners,Minimal embroidery,No mirror work,Black / neutral,Gifting,1000-2000,2000-4000,Below 500,No,Festival combo pack,Depends on reviews,Brand story,4,No,Unlikely
Below 20,Male,Tier 2,Delhi,Freelancer,25000-50000,Frequently,Instagram stores,Authenticity,Minimal modern,Jackets / shrugs,Sling bag,Cushion covers,Moderate embroidery,Strong mirror work,Bright colors,Daily use,Above 2000,1000-2000,500-1500,Sometimes,Flat discount,No,Return policy,5,Yes,Highly likely
Below 20,Female,Tier 1,Telangana,Other,50000-100000,Rarely,During travel,Price,Fusion,Laptop sleeves / utility pouches,Clutch,Wall décor textile,Minimal embroidery,Light mirror work,Pastel shades,Festive use,Above 2000,2000-4000,500-1500,Sometimes,Flat discount,No,Return policy,3,No,Likely
31-40,Male,Tier 1,Delhi,Homemaker,Above 200000,Occasionally,Instagram stores,Authenticity,Minimal modern,"Laptop sleeves / utility pouches, Cushion covers, Gift sets",Sling bag,Wall décor textile,Heavy embroidery,Strong mirror work,Earth tones,Festive use,500-1000,Above 4000,Below 500,Strongly yes,Flat discount,Yes,Product images,2,Yes,Unlikely
21-30,Female,Tier 2,West Bengal,Salaried Employee,Below 25000,Never,Local exhibitions,Design,Traditional,Jackets / shrugs,Office handbag,Wall décor textile,Heavy embroidery,Light mirror work,Bright colors,Daily use,Below 500,Below 1000,500-1500,Strongly yes,Buy 2 Get 1,No,Brand story,4,No,Likely
Below 20,Female,Tier 2,Telangana,Freelancer,100000-200000,Never,Instagram stores,Utility,Depends on product,"Handbags, Gift sets, Cushion covers",Tote bag,Table runners,Moderate embroidery,No mirror work,Pastel shades,Daily use,500-1000,2000-4000,1500-3000,Sometimes,Festival combo pack,Yes,Product images,5,No,Very unlikely
41-50,Female,Metro,Tamil Nadu,Student,100000-200000,Rarely,Online marketplaces,Design,Fusion,"Laptop sleeves / utility pouches, Handbags",Office handbag,Cushion covers,Minimal embroidery,No mirror work,Bright colors,Festive use,Above 2000,1000-2000,Below 500,No,Buy 2 Get 1,No,Reviews,2,No,Likely
Above 50,Female,Metro,Delhi,Other,50000-100000,Occasionally,Online marketplaces,Brand,Fusion,"Cushion covers, Handbags",Sling bag,Decorative organizers,Minimal embroidery,No mirror work,Bright colors,Weddings,Above 2000,Below 1000,Above 3000,No,Flat discount,Yes,Return policy,4,No,Unsure
Above 50,Male,Tier 2,West Bengal,Salaried Employee,100000-200000,Frequently,During travel,Design,Traditional,"Gift sets, Laptop sleeves / utility pouches",Clutch,Wall décor textile,Minimal embroidery,Strong mirror work,Bright colors,Daily use,Below 500,2000-4000,1500-3000,Sometimes,Buy 2 Get 1,Yes,Product images,3,Yes,Likely
31-40,Male,Tier 3 / Rural,Maharashtra,Homemaker,Above 200000,Frequently,Retail stores,Authenticity,Depends on product,Cushion covers,Clutch,Wall décor textile,Heavy embroidery,Light mirror work,Black / neutral,Festive use,500-1000,Below 1000,1500-3000,Sometimes,Flat discount,No,Return policy,5,Yes,Unsure
Above 50,Female,Tier 3 / Rural,Telangana,Freelancer,Above 200000,Frequently,Retail stores,Utility,Traditional,"Cushion covers, Handbags",Office handbag,Decorative organizers,Moderate embroidery,No mirror work,Earth tones,Office use,Above 2000,2000-4000,500-1500,Sometimes,Free shipping,No,Return policy,2,No,Unlikely
21-30,Male,Tier 1,Maharashtra,Student,Below 25000,Rarely,Retail stores,Authenticity,Depends on product,Handbags,Tote bag,Decorative organizers,Minimal embroidery,Light mirror work,Bright colors,Gifting,Below 500,1000-2000,Above 3000,Strongly yes,Buy 2 Get 1,Depends on reviews,Brand story,1,No,Likely
21-30,Male,Tier 1,Telangana,Student,Below 25000,Rarely,Local exhibitions,Brand,Minimal modern,Laptop sleeves / utility pouches,Tote bag,Cushion covers,Moderate embroidery,Strong mirror work,Earth tones,Weddings,Below 500,1000-2000,1500-3000,Sometimes,Buy 2 Get 1,Depends on reviews,Return policy,3,No,Very unlikely
31-40,Female,Tier 2,Delhi,Other,Below 25000,Rarely,Retail stores,Brand,Depends on product,Cushion covers,Sling bag,Table runners,Moderate embroidery,Strong mirror work,Bright colors,Daily use,Above 2000,Below 1000,Below 500,Sometimes,Buy 2 Get 1,Depends on reviews,Reviews,1,Yes,Unsure
Above 50,Female,Tier 2,Delhi,Business Owner,Above 200000,Frequently,During travel,Brand,Fusion,"Jackets / shrugs, Laptop sleeves / utility pouches, Gift sets",Clutch,Table runners,Moderate embroidery,Light mirror work,Black / neutral,Daily use,500-1000,1000-2000,500-1500,No,Festival combo pack,Yes,Product images,5,Yes,Unlikely
21-30,Female,Tier 1,Maharashtra,Homemaker,Below 25000,Rarely,Retail stores,Design,Minimal modern,Cushion covers,Office handbag,Wall décor textile,Minimal embroidery,No mirror work,Bright colors,Daily use,1000-2000,Below 1000,1500-3000,No,Flat discount,Depends on reviews,Product images,2,Yes,Likely
31-40,Male,Tier 3 / Rural,Gujarat,Other,Above 200000,Occasionally,Instagram stores,Design,Minimal modern,Cushion covers,Office handbag,Cushion covers,Moderate embroidery,Light mirror work,Bright colors,Office use,Above 2000,2000-4000,500-1500,No,Buy 2 Get 1,Depends on reviews,Brand story,4,No,Unlikely
Below 20,Female,Tier 3 / Rural,Delhi,Homemaker,25000-50000,Occasionally,Retail stores,Price,Fusion,"Handbags, Laptop sleeves / utility pouches",Office handbag,Cushion covers,Moderate embroidery,No mirror work,Bright colors,Daily use,Above 2000,1000-2000,Below 500,Strongly yes,Festival combo pack,Yes,Return policy,3,No,Very unlikely
21-30,Male,Tier 1,Telangana,Freelancer,50000-100000,Occasionally,Instagram stores,Brand,Fusion,Gift sets,Sling bag,Table runners,Minimal embroidery,Strong mirror work,Pastel shades,Office use,1000-2000,Below 1000,1500-3000,Sometimes,Festival combo pack,No,Product images,5,Yes,Unsure
21-30,Male,Tier 1,Gujarat,Homemaker,25000-50000,Occasionally,Instagram stores,Utility,Fusion,"Laptop sleeves / utility pouches, Cushion covers, Gift sets",Clutch,Table runners,Heavy embroidery,Strong mirror work,Earth tones,Gifting,Above 2000,Above 4000,Below 500,No,Festival combo pack,Depends on reviews,Return policy,2,Yes,Unlikely
Above 50,Female,Tier 1,Tamil Nadu,Homemaker,50000-100000,Rarely,Retail stores,Authenticity,Traditional,"Laptop sleeves / utility pouches, Cushion covers",Tote bag,Table runners,Moderate embroidery,Strong mirror work,Bright colors,Daily use,Above 2000,Below 1000,Below 500,Strongly yes,Flat discount,Depends on reviews,Product images,2,Yes,Likely
31-40,Female,Tier 3 / Rural,Tamil Nadu,Business Owner,25000-50000,Never,Local exhibitions,Brand,Depends on product,"Cushion covers, Gift sets, Laptop sleeves / utility pouches",Sling bag,Cushion covers,Minimal embroidery,Strong mirror work,Earth tones,Weddings,500-1000,Above 4000,Above 3000,No,Free shipping,Depends on reviews,Reviews,1,Yes,Unlikely
Below 20,Male,Tier 3 / Rural,Telangana,Business Owner,25000-50000,Frequently,During travel,Design,Minimal modern,"Laptop sleeves / utility pouches, Gift sets",Sling bag,Table runners,Minimal embroidery,Light mirror work,Earth tones,Office use,1000-2000,Below 1000,1500-3000,Sometimes,Festival combo pack,Depends on reviews,Reviews,2,Yes,Very unlikely
31-40,Female,Tier 1,Telangana,Student,50000-100000,Never,Retail stores,Brand,Fusion,"Laptop sleeves / utility pouches, Handbags, Cushion covers",Clutch,Decorative organizers,Minimal embroidery,No mirror work,Black / neutral,Daily use,Above 2000,Below 1000,500-1500,Strongly yes,Flat discount,No,Reviews,5,No,Unlikely
21-30,Female,Tier 1,Maharashtra,Other,50000-100000,Rarely,During travel,Brand,Fusion,"Handbags, Laptop sleeves / utility pouches, Cushion covers",Tote bag,Table runners,Heavy embroidery,Strong mirror work,Pastel shades,Office use,Above 2000,Below 1000,Above 3000,No,Flat discount,No,Return policy,1,Yes,Unsure
Above 50,Male,Metro,Delhi,Freelancer,25000-50000,Never,Instagram stores,Brand,Traditional,Laptop sleeves / utility pouches,Clutch,Cushion covers,Heavy embroidery,No mirror work,Pastel shades,Office use,Below 500,Below 1000,1500-3000,Sometimes,Festival combo pack,Depends on reviews,Return policy,3,No,Unlikely
Below 20,Male,Tier 3 / Rural,Delhi,Homemaker,Above 200000,Rarely,During travel,Authenticity,Traditional,"Laptop sleeves / utility pouches, Handbags",Sling bag,Cushion covers,Heavy embroidery,Light mirror work,Earth tones,Office use,Below 500,1000-2000,1500-3000,No,Flat discount,Yes,Brand story,4,No,Unsure
31-40,Female,Tier 1,Maharashtra,Other,Below 25000,Never,Local exhibitions,Authenticity,Fusion,Cushion covers,Office handbag,Table runners,Heavy embroidery,Light mirror work,Earth tones,Daily use,Above 2000,2000-4000,1500-3000,Strongly yes,Flat discount,Depends on reviews,Reviews,2,No,Highly likely
Below 20,Female,Tier 2,Maharashtra,Homemaker,50000-100000,Frequently,Instagram stores,Design,Fusion,Jackets / shrugs,Tote bag,Cushion covers,Heavy embroidery,Light mirror work,Black / neutral,Office use,Above 2000,1000-2000,Below 500,No,Buy 2 Get 1,Depends on reviews,Product images,2,No,Unsure
Above 50,Male,Tier 3 / Rural,Delhi,Homemaker,Below 25000,Rarely,Local exhibitions,Price,Traditional,"Jackets / shrugs, Cushion covers, Laptop sleeves / utility pouches",Office handbag,Wall décor textile,Minimal embroidery,Light mirror work,Black / neutral,Office use,1000-2000,Below 1000,500-1500,Strongly yes,Festival combo pack,Depends on reviews,Brand story,2,No,Unlikely
Above 50,Male,Tier 2,Maharashtra,Homemaker,25000-50000,Occasionally,During travel,Brand,Depends on product,"Jackets / shrugs, Gift sets, Handbags",Clutch,Cushion covers,Heavy embroidery,Strong mirror work,Black / neutral,Festive use,Above 2000,Above 4000,Above 3000,Strongly yes,Festival combo pack,No,Brand story,2,Yes,Very unlikely
41-50,Male,Tier 1,Gujarat,Freelancer,100000-200000,Never,Retail stores,Design,Depends on product,"Jackets / shrugs, Gift sets, Cushion covers",Sling bag,Table runners,Heavy embroidery,Light mirror work,Pastel shades,Gifting,500-1000,1000-2000,500-1500,No,Flat discount,Depends on reviews,Brand story,4,Yes,Unsure
Above 50,Female,Tier 1,Telangana,Business Owner,50000-100000,Occasionally,Instagram stores,Design,Fusion,"Cushion covers, Jackets / shrugs",Tote bag,Cushion covers,Minimal embroidery,No mirror work,Earth tones,Office use,Below 500,2000-4000,Above 3000,Sometimes,Festival combo pack,No,Product images,3,Yes,Very unlikely
41-50,Female,Metro,Gujarat,Freelancer,50000-100000,Never,Local exhibitions,Price,Traditional,"Laptop sleeves / utility pouches, Gift sets, Cushion covers",Sling bag,Wall décor textile,Moderate embroidery,Strong mirror work,Earth tones,Daily use,Below 500,Above 4000,Above 3000,Sometimes,Festival combo pack,Depends on reviews,Product images,4,No,Likely
Above 50,Male,Tier 2,Delhi,Other,25000-50000,Never,Local exhibitions,Brand,Depends on product,Handbags,Sling bag,Wall décor textile,Heavy embroidery,Light mirror work,Pastel shades,Daily use,500-1000,Above 4000,Above 3000,Strongly yes,Buy 2 Get 1,Yes,Product images,5,Yes,Likely
31-40,Prefer not to say,Metro,Rajasthan,Freelancer,25000-50000,Occasionally,Instagram stores,Authenticity,Traditional,Jackets / shrugs,Office handbag,Wall décor textile,Moderate embroidery,No mirror work,Black / neutral,Daily use,Below 500,Above 4000,Below 500,Sometimes,Free shipping,Depends on reviews,Product images,4,No,Unsure
21-30,Female,Tier 1,Karnataka,Student,Below 25000,Frequently,Online marketplaces,Brand,Depends on product,"Handbags, Laptop sleeves / utility pouches",Sling bag,Table runners,Moderate embroidery,No mirror work,Pastel shades,Festive use,1000-2000,Above 4000,Below 500,No,Flat discount,Depends on reviews,Brand story,1,No,Unlikely
Below 20,Male,Tier 3 / Rural,Rajasthan,Salaried Employee,100000-200000,Occasionally,Retail stores,Authenticity,Minimal modern,"Handbags, Gift sets, Cushion covers",Sling bag,Table runners,Minimal embroidery,No mirror work,Earth tones,Daily use,Above 2000,1000-2000,500-1500,No,Buy 2 Get 1,No,Product images,4,Yes,Unsure
31-40,Female,Tier 2,West Bengal,Homemaker,Above 200000,Never,During travel,Brand,Minimal modern,"Handbags, Jackets / shrugs, Gift sets",Clutch,Table runners,Heavy embroidery,Strong mirror work,Earth tones,Gifting,Above 2000,1000-2000,1500-3000,No,Flat discount,Yes,Return policy,1,Yes,Unsure
Above 50,Male,Metro,Rajasthan,Homemaker,,Never,Retail stores,Utility,Fusion,"Laptop sleeves / utility pouches, Cushion covers",Sling bag,Cushion covers,Moderate embroidery,Light mirror work,Earth tones,Festive use,Above 2000,1000-2000,1500-3000,Sometimes,Festival combo pack,Depends on reviews,Return policy,5,No,Likely
21-30,Male,Tier 2,Karnataka,Business Owner,25000-50000,Never,Retail stores,Design,Depends on product,"Gift sets, Laptop sleeves / utility pouches",Sling bag,Cushion covers,Heavy embroidery,Light mirror work,Pastel shades,Weddings,Below 500,2000-4000,500-1500,No,Flat discount,No,Brand story,1,Yes,Unsure
41-50,Female,Metro,Gujarat,Student,100000-200000,Never,Retail stores,Brand,Minimal modern,"Handbags, Laptop sleeves / utility pouches, Gift sets",Sling bag,Decorative organizers,Moderate embroidery,Strong mirror work,Pastel shades,Weddings,500-1000,Below 1000,Below 500,Strongly yes,Free shipping,Depends on reviews,Product images,1,Yes,Likely
41-50,Female,Tier 2,Gujarat,Freelancer,100000-200000,Frequently,Online marketplaces,Price,Depends on product,"Gift sets, Cushion covers, Handbags",Sling bag,Table runners,Moderate embroidery,Strong mirror work,Earth tones,Office use,Above 2000,1000-2000,Below 500,Strongly yes,Festival combo pack,Depends on reviews,Return policy,5,Yes,Highly likely
Below 20,Female,Tier 1,Tamil Nadu,Salaried Employee,100000-200000,Frequently,Instagram stores,Authenticity,Minimal modern,"Jackets / shrugs, Laptop sleeves / utility pouches",Tote bag,Wall décor textile,Minimal embroidery,No mirror work,Earth tones,Festive use,1000-2000,Above 4000,500-1500,No,Free shipping,No,Reviews,4,No,Very unlikely
41-50,Male,Tier 1,Gujarat,Student,Above 200000,Never,During travel,Design,Traditional,"Handbags, Laptop sleeves / utility pouches, Gift sets",Sling bag,Table runners,Heavy embroidery,Light mirror work,Black / neutral,Daily use,Above 2000,2000-4000,Above 3000,Strongly yes,Buy 2 Get 1,Yes,Reviews,3,Yes,Unlikely
Above 50,Male,Metro,Maharashtra,Other,100000-200000,Occasionally,Instagram stores,Price,Traditional,Cushion covers,Tote bag,Cushion covers,Minimal embroidery,Strong mirror work,Earth tones,Weddings,500-1000,Below 1000,500-1500,Sometimes,Free shipping,No,Brand story,2,No,Very unlikely
31-40,Male,Metro,Rajasthan,Other,Below 25000,Frequently,Online marketplaces,Utility,Fusion,"Cushion covers, Laptop sleeves / utility pouches, Handbags",Tote bag,Cushion covers,Heavy embroidery,No mirror work,Black / neutral,Festive use,1000-2000,2000-4000,Above 3000,Sometimes,Buy 2 Get 1,No,Return policy,1,Yes,Likely
21-30,Female,Metro,Gujarat,Salaried Employee,Below 25000,Never,During travel,Design,Depends on product,Cushion covers,Office handbag,Wall décor textile,Moderate embroidery,Light mirror work,Pastel shades,Weddings,1000-2000,2000-4000,Below 500,Strongly yes,Festival combo pack,Depends on reviews,Brand story,5,No,Very unlikely
41-50,Male,Tier 2,Tamil Nadu,Freelancer,Above 200000,Occasionally,Local exhibitions,Design,Fusion,Jackets / shrugs,Sling bag,Wall décor textile,Heavy embroidery,No mirror work,Black / neutral,Gifting,Above 2000,Above 4000,500-1500,Sometimes,Buy 2 Get 1,No,Reviews,5,No,Unlikely
31-40,Female,Tier 3 / Rural,Maharashtra,Freelancer,Below 25000,Occasionally,During travel,Design,Depends on product,"Jackets / shrugs, Cushion covers",Clutch,Wall décor textile,Heavy embroidery,No mirror work,Pastel shades,Office use,500-1000,Above 4000,Below 500,Sometimes,Flat discount,Depends on reviews,Return policy,2,Yes,Unlikely
Below 20,Female,Metro,Tamil Nadu,Salaried Employee,50000-100000,Never,Retail stores,Design,Traditional,"Gift sets, Handbags",Clutch,Table runners,Heavy embroidery,No mirror work,Bright colors,Gifting,Above 2000,1000-2000,Below 500,No,Flat discount,Yes,Return policy,5,Yes,Likely
31-40,Female,Tier 1,Gujarat,Freelancer,Below 25000,Occasionally,Online marketplaces,Design,Depends on product,"Handbags, Laptop sleeves / utility pouches, Jackets / shrugs",Sling bag,Cushion covers,Minimal embroidery,Strong mirror work,Bright colors,Gifting,1000-2000,Above 4000,Above 3000,Sometimes,Festival combo pack,No,Return policy,2,No,Likely
41-50,Female,Metro,Tamil Nadu,Business Owner,Below 25000,Never,Online marketplaces,Authenticity,Fusion,Jackets / shrugs,Sling bag,Decorative organizers,Heavy embroidery,No mirror work,Black / neutral,Office use,Above 2000,1000-2000,Above 3000,Sometimes,Festival combo pack,No,Product images,5,No,Unsure
21-30,Prefer not to say,Tier 1,West Bengal,Student,50000-100000,Occasionally,Retail stores,Utility,Fusion,Cushion covers,Tote bag,Wall décor textile,Moderate embroidery,Light mirror work,Pastel shades,Daily use,1000-2000,Above 4000,Above 3000,Strongly yes,Free shipping,Depends on reviews,Product images,5,Yes,Likely
Above 50,Male,Tier 3 / Rural,Tamil Nadu,Student,Below 25000,Occasionally,During travel,Utility,Fusion,"Handbags, Gift sets",Tote bag,Cushion covers,Moderate embroidery,Light mirror work,Bright colors,Weddings,Below 500,2000-4000,500-1500,Strongly yes,Buy 2 Get 1,Yes,Reviews,2,Yes,Highly likely
